B,C,D,G,K,M,P,S,W,
v_117 ,v_117 ,v_117 ,v_117 ,v_117 ,v_117 ,v_117 ,v_117 ,v_117 ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,übergülte ,übergülte ,übergülte ,übergülte ,,übergülte ,übergülte ,übergülte ,
,sît ,sint ,sît ,sît ,sît ,sît ,sint ,sît ,
,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
,,,,,übergülte ,,,,
,gar ,gar ,gar ,gar ,gar ,gar ,gar ,gar ,
v_118 ,v_118 ,v_118 ,v_118 ,v_118 ,v_118 ,v_118 ,v_118 ,v_118 ,
,diu ,diu ,diu ,diu ,hiemit ,diu ,hiemit ,diu ,
,vrouwe ,vrouwe ,vrouwe ,vrouwe ,,vrouwe ,,vrouwe ,
,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,
,mit ,mit ,mit ,mit ,diu ,mit ,diu ,mit ,
,zuhten ,zuhten ,zuhten ,zuhten ,schoene ,zuhten ,schoene ,zuhten ,
,dar ,dar ,dar ,dar ,gar ,dar ,dar ,dar ,
v_119 ,v_119 ,v_119 ,v_119 ,v_119 ,v_119 ,v_119 ,v_119 ,v_119 ,
,,,vil ,vil ,vil ,vil ,vil ,vil ,
,lieber ,lieber ,lieber ,lieber ,lieber ,lieber ,lieber ,lieber ,
,vriunt ,vriunt ,vriunt ,vriunt ,vriunt ,vriunt ,vriunt ,vriunt ,
,got ,got ,got ,got ,got ,got ,got ,got ,
,lône ,lône ,lône ,lône ,lône ,lône ,lône ,lône ,
,dir ,dir ,dir ,dir ,dir ,dir ,dir ,dir ,
v_120 ,v_120 ,v_120 ,v_120 ,v_120 ,v_120 ,v_120 ,v_120 ,v_120 ,
,,,,der ,,der ,,,
,,,,schric ,,schric ,,,
,erschrecke ,erschrecke ,erschrecke ,erschrecke ,erschrecke ,erschrecke ,erschrecke ,erschrecke ,
,sô ,sô ,sô ,sô ,sô ,sô ,sô ,sô ,
,sere ,sere ,sere ,sere ,sere ,sere ,sere ,sere ,
,niht ,niht ,niht ,niht ,niht ,niht ,niht ,niht ,
,von ,von ,von ,vor ,von ,vor ,vor ,vor ,
,mir ,mir ,mir ,mir ,mir ,mir ,mir ,mir ,
v_121 ,v_121 ,v_121 ,v_121 ,v_121 ,v_121 ,v_121 ,v_121 ,v_121 ,
,ich ,ich ,ich ,ich ,,ich ,ich ,ich ,
,bin ,bin ,bin ,bin ,,bin ,bin ,bin ,
,ez ,,ez ,ez ,,ez ,ez ,ez ,
,diu ,diu ,diu ,diu ,,diu ,diu ,diu ,
,selbe ,selbe ,selbe ,selbe ,,selbe ,selbe ,selbe ,
,vrouwe ,vrouwe ,vrouwe ,vrouwe ,,vrouwe ,vrouwe ,vrouwe ,
,doch ,doch ,doch ,doch ,,doch ,doch ,doch ,
v_122 ,v_122 ,v_122 ,v_122 ,v_122 ,v_122 ,v_122 ,v_122 ,v_122 ,
,der ,der ,der ,der ,,der ,der ,der ,
,du ,du ,du ,du ,,du ,du ,du ,
,,mit ,,,,,,,
,,wîlent ,wîlent ,wîlent ,,wîlent ,wîlent ,wîlent ,
,minneclichen ,dienest ,unde ,und ,,und ,und ,und ,
,noch ,noch ,noch ,noch ,,noch ,noch ,noch ,
v_123 ,v_123 ,v_123 ,v_123 ,v_123 ,v_123 ,v_123 ,v_123 ,v_123 ,
,dienest ,,,,,,,,
,und ,und ,vil ,vil ,,vil ,und ,vil ,
,,alde ,lange ,lange ,,lange ,alde ,lange ,
,ie ,her ,her ,her ,,her ,her ,her ,
,gedienet ,gedienet ,gedienet ,gedienet ,,gedienet ,gedienet ,gedienet ,
,hast ,hast ,hast ,hast ,,hast ,hast ,hast ,
v_124 ,v_124 ,v_124 ,v_124 ,v_124 ,v_124 ,v_124 ,v_124 ,v_124 ,
,wie ,wie ,wie ,swie ,,swie ,swie ,swie ,
,du ,du ,du ,du ,,du ,du ,du ,
,,,erschrocken ,,,,,,
,von ,vor ,von ,vor ,,vor ,vor ,vor ,
,mir ,mir ,mir ,mir ,,mir ,mir ,mir ,
,erschrocken ,erschrocken ,,geschrocken ,,geschrocken ,ersrocken ,geschrocken ,
,stast ,stast ,stast ,stast ,,stast ,wast ,stast ,
v_125 ,v_125 ,v_125 ,v_125 ,v_125 ,v_125 ,v_125 ,v_125 ,v_125 ,
,sô ,sô ,sô ,sô ,nun ,sô ,sô ,sô ,
,bin ,bin ,bin ,bin ,bin ,bin ,bin ,bin ,
,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
,ez ,,,ez ,,ez ,,ez ,
,,doch ,doch ,doch ,doch ,doch ,doch ,doch ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,
,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,
v_126 ,v_126 ,v_126 ,v_126 ,v_126 ,v_126 ,v_126 ,v_126 ,v_126 ,
,durch ,durch ,durch ,durch ,durch ,durch ,durch ,durch ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,du ,du ,du ,du ,du ,du ,du ,du ,
,sele ,sele ,sele ,sele ,sele ,sele ,sele ,sele ,
,unde ,unde ,unde ,unde ,unde ,unde ,unde ,unde ,
,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
v_127 ,v_127 ,v_127 ,v_127 ,v_127 ,v_127 ,v_127 ,v_127 ,v_127 ,
,,vil ,vil ,vil ,vil ,vil ,vil ,vil ,
,dicke ,dicke ,dicke ,dicke ,dicke ,dicke ,dicke ,dicke ,
,hast ,hast ,hast ,hast ,hast ,hast ,hast ,hast ,
,gewaget ,gewaget ,gewaget ,gewaget ,gewaget ,gewaget ,gewaget ,gewaget ,
v_128 ,v_128 ,v_128 ,v_128 ,v_128 ,v_128 ,v_128 ,v_128 ,v_128 ,
,dîn ,dîn ,dîn ,dîn ,dîn ,dîn ,dîn ,dîn ,
,herze ,herze ,herze ,herze ,herze ,herze ,herze ,herze ,
,,,daz ,,,,,,
,niht ,niht ,nie ,nie ,niht ,nie ,niht ,nie ,
,betraget ,betraget ,betraget ,betraget ,betraget ,betraget ,betraget ,betraget ,
v_129 ,v_129 ,v_129 ,v_129 ,v_129 ,v_129 ,v_129 ,v_129 ,v_129 ,
,ez ,ez ,ez ,ez ,ez ,ez ,ez ,ez ,
,tragt ,tragt ,trüoge ,trüege ,tragt ,trüege ,trage ,trüege ,
,,,,ie ,,ie ,,ie ,
,durch ,durch ,durch ,durch ,durch ,durch ,durch ,durch ,
,mich ,mich ,mich ,mich ,mich ,mich ,mich ,dich ,
,holden ,hôhen ,hôhen ,hôhen ,hôhen ,hôhen ,hôhen ,hôhen ,
,muot ,muot ,muot ,muot ,muot ,muot ,muot ,muot ,
v_130 ,v_130 ,v_130 ,v_130 ,v_130 ,v_130 ,v_130 ,v_130 ,v_130 ,
,du ,du ,du ,du ,du ,du ,du ,du ,
,bist ,bist ,bist ,bist ,bist ,bist ,bist ,bist ,
,sô ,hübsch ,,,hübsch ,,hübsch ,,
,biderb ,,biderb ,biderb ,,biderb ,,biderb ,
,und ,unde ,unde ,unde ,und ,und ,unde ,unde ,
,sô ,,,,,,,,
,guot ,vruot ,guot ,guot ,vruot ,guot ,vruot ,guot ,
v_131 ,v_131 ,v_131 ,v_131 ,v_131 ,v_131 ,v_131 ,v_131 ,v_131 ,
,gewesen ,gewesen ,,,gewesen ,,gewesen ,,
,all ,alle ,alle ,alle ,alle ,alle ,alle ,alle ,
,dîn ,dîne ,dîne ,dîne ,dîne ,dîne ,dîne ,dîne ,
,jâr ,jâr ,jâr ,jâr ,jâr ,jâr ,jâr ,jâr ,
,,,gewesen ,gewesen ,,gewesen ,,gewesen ,
v_132 ,v_132 ,v_132 ,v_132 ,v_132 ,v_132 ,v_132 ,v_132 ,v_132 ,
,dîn ,dîn ,,,dîn ,,dîn ,,
,herz ,werder ,,,werder ,,werder ,,
,,lîp ,,,lîp ,,lîp ,,
,stille ,süeze ,,,süeze ,,süeze ,,
,und ,und ,,,und ,,und ,,
,offenbar ,klar ,,,klar ,,klar ,,
v_133 ,v_133 ,v_133 ,v_133 ,v_133 ,v_133 ,v_133 ,v_133 ,v_133 ,
,hat ,hat ,,,hat ,,hat ,,
,nach ,nach ,,,nach ,,nach ,,
,mir ,mir ,,,mir ,,mir ,,
,gerungen ,gerungen ,,,gerungen ,,gerungen ,,
v_134 ,v_134 ,v_134 ,v_134 ,v_134 ,v_134 ,v_134 ,v_134 ,v_134 ,
,gesprochen ,gesprochen ,,,gesprochen ,,gesprochen ,,
,und ,und ,,,und ,,und ,,
,gesungen ,gesungen ,,,gesungen ,,gesungen ,,
v_135 ,v_135 ,v_135 ,v_135 ,v_135 ,v_135 ,v_135 ,v_135 ,v_135 ,
von ,von ,von ,,,von ,,von ,,
mir ,mir ,mir ,,,mir ,,mir ,,
swaz ,waz ,waz ,,,swaz ,,swaz ,,
er ,ich ,ez ,,,er ,,er ,,
guotes ,guotes ,guotes ,,,guotes ,,guotes ,,
kan ,kan ,kan ,,,kan ,,kan ,,
v_136 ,v_136 ,v_136 ,v_136 ,v_136 ,v_136 ,v_136 ,v_136 ,v_136 ,
du ,du ,du ,,,du ,,du ,,
waerst ,waerst ,waerst ,,,wart ,,waerst ,,
eht ,ouch ,,,,ot ,,,,
ie ,ie ,ie ,,,ie ,,etie ,,
mîn ,mîn ,mîn ,,,mîn ,,mîn ,,
dienestman ,dienestman ,dienestman ,,,dienestman ,,undertan ,,
v_137 ,v_137 ,v_137 ,v_137 ,v_137 ,v_137 ,v_137 ,v_137 ,v_137 ,
den ,den ,den ,,,den ,,den ,,
abent ,abent ,abent ,,,abent ,,abent ,,
und ,und ,und ,,,und ,,und ,,
,den ,den ,,,den ,,den ,,
morgen ,morgen ,morgen ,,,morgen ,,morgen ,,
v_138 ,v_138 ,v_138 ,v_138 ,v_138 ,v_138 ,v_138 ,v_138 ,v_138 ,
du ,du ,du ,,,du ,,du ,,
kundest ,kundest ,kundest ,,,kundest ,,kundest ,,
,,,,,,,vil ,,
wol ,wol ,wol ,,,wol ,,wol ,,
besorgen ,besorgen ,besorgen ,,,besorgen ,,besorgen ,,
v_139 ,v_139 ,v_139 ,v_139 ,v_139 ,v_139 ,v_139 ,v_139 ,v_139 ,
hôhes ,hôhes ,hôhes ,,,hôhes ,,hôhes ,,
lop ,lop ,lop ,,,lop ,,lop ,,
und ,und ,und ,,,und ,,und ,,
werden ,werdes ,werden ,,,werden ,,werden ,,
prîs ,prîs ,prîs ,,,prîs ,,prîs ,,
v_140 ,v_140 ,v_140 ,v_140 ,v_140 ,v_140 ,v_140 ,v_140 ,v_140 ,
du ,du ,du ,,,du ,,du ,,
blüejest ,blüejest ,blüjest ,,,blüejest ,,blüejest ,,
als ,als ,als ,,,als ,,als ,,
ein ,ein ,ein ,,,ein ,,ein ,,
,,,,,,,morgen ,,
meienrîs ,meienrîs ,meienrîs ,,,meienrîs ,,meienrîs ,,
v_141 ,v_141 ,v_141 ,v_141 ,v_141 ,v_141 ,v_141 ,v_141 ,v_141 ,
in ,ir ,in ,,,in ,,in ,,
,,sô ,,,,,,,
manecvalter ,manecvaltiger ,manecvalter ,,,manecvalter ,,manecvaltiger ,,
tugent ,tugent ,tugent ,,,tugent ,,tugende ,,
v_142 ,v_142 ,v_142 ,v_142 ,v_142 ,v_142 ,v_142 ,v_142 ,v_142 ,
du ,du ,du ,,,du ,,du ,,
hast ,hast ,hast ,,,hast ,,hast ,,
von ,von ,von ,,,von ,,von ,,
,,,,,,,hast ,,
kindes ,kindes ,kindes ,,,kindes ,,kindes ,,
jugent ,jugent ,jugent ,,,jugent ,,jugent ,,
v_143 ,v_143 ,v_143 ,v_143 ,v_143 ,v_143 ,v_143 ,v_143 ,v_143 ,
getragen ,getragen ,getragen ,,,getragen ,,getragen ,,
ie ,ie ,ie ,,,ie ,,ie ,,
der ,der ,der ,,,der ,,der ,,
eren ,eren ,eren ,,,eren ,,eren ,,
kranz ,kranz ,kranz ,,,kranz ,,kranz ,,
v_144 ,v_144 ,v_144 ,v_144 ,v_144 ,v_144 ,v_144 ,v_144 ,v_144 ,
dîn ,dîn ,dîn ,,,dîn ,,dîn ,,
sîn ,herz ,herz ,,,sîn ,,sîn ,,
ist ,ist ,ist ,,,ist ,,ist ,,
lûter ,lûter ,lûter ,,,lûter ,,lûter ,,
und ,und ,und ,,,und ,,und ,,
ganz ,ganz ,ganz ,,,ganz ,,ganz ,,
v_145 ,v_145 ,v_145 ,v_145 ,v_145 ,v_145 ,v_145 ,v_145 ,v_145 ,
an ,an ,an ,,,an ,,in ,,
,steten ,,,,,,,,
triuwen ,triuwen ,triuwen ,,,triuwen ,,triuwen ,,
ie ,ie ,,,,ie ,,ie ,,
gegen ,,gegen ,,,gegen ,,an ,,
mir ,,mir ,,,mir ,,mir ,,
gewesen ,gewesen ,gewesen ,,,gewesen ,,gewesen ,,
v_146 ,v_146 ,v_146 ,v_146 ,v_146 ,v_146 ,v_146 ,v_146 ,v_146 ,
vil ,,vil ,,,vil ,,vil ,,
werder ,werder ,werder ,werder ,werder ,werder ,werder ,werder ,werder ,
ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,
ûzerlesen ,ûzerlesen ,ûzerlesen ,ûzerlesen ,ûzerlesen ,ûzerlesen ,ûzerlesen ,ûzerlesen ,ûzerlesen ,
v_147 ,v_147 ,v_147 ,v_147 ,v_147 ,v_147 ,v_147 ,v_147 ,v_147 ,
darumbe ,darumbe ,darumbe ,darumbe ,darumbe ,darumbe ,darumbe ,darumbe ,darumbe ,
bin ,bin ,bin ,bin ,bin ,bin ,bin ,bin ,bin ,
ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
komen ,komen ,komen ,komen ,komen ,komen ,komen ,komen ,komen ,
her ,her ,her ,her ,her ,her ,her ,her ,her ,
v_148 ,v_148 ,v_148 ,v_148 ,v_148 ,v_148 ,v_148 ,v_148 ,v_148 ,
daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
du ,du ,du ,du ,du ,du ,du ,du ,du ,
nach ,nach ,nach ,nach ,nach ,nach ,nach ,nach ,nach ,
dînes ,dînes ,dînes ,dînes ,dînes ,dînes ,dûnes ,dînes ,dînes ,
herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,
ger ,ger ,ger ,ger ,ger ,ger ,ger ,ger ,ger ,
,,,v_150 ,,,v_150 ,,,
,,,schouwest ,,,schouwest ,,,
,,,wider ,,,wider ,,,
,,,unde ,,,unde ,,,
,,,vür ,,,vür ,,,
v_149 ,v_149 ,v_149 ,v_149 ,v_149 ,v_149 ,v_149 ,v_149 ,v_149 ,
mînen ,mîn ,mînen ,mînen ,mînen ,mînen ,mînen ,mînen ,mînen ,
lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
von ,nach ,von ,von ,in ,von ,in ,in ,in ,
hôher ,hôher ,hôher ,hôher ,hôher ,hôher ,hôher ,hôher ,hôher ,
kür ,kür ,kür ,kür ,kür ,kür ,kür ,kür ,kür ,
v_150 ,v_150 ,v_150 ,,v_150 ,v_150 ,,v_150 ,v_150 ,
beschouwest ,beschouwest ,schouwest ,,schouwest ,beschouwest ,,beschouwest ,schoenest ,
wider ,hinden ,wider ,,wider ,wider ,,wider ,wider ,
und ,und ,und ,,unde ,unde ,,unde ,unde ,
vür ,vür ,vür ,,vür ,vür ,,vür ,vür ,
v_151 ,v_151 ,v_151 ,v_151 ,v_151 ,v_151 ,v_151 ,v_151 ,v_151 ,
wie ,wie ,wie ,wie ,wie ,wie ,wie ,wie ,wie ,
schoen ,schoen ,schoen ,schoen ,schoene ,schoen ,schoen ,schoen ,schoen ,
ich ,ich ,ich ,er ,er ,ich ,er ,ich ,er ,
sei ,sei ,bin ,sei ,sei ,sei ,sei ,bin ,sei ,
wie ,wie ,wie ,wie ,wie ,wie ,wie ,wie ,wie ,
volkomen ,volkomen ,volkomen ,volkomen ,volkomen ,volchomen,volkomen ,volkomen ,volkomen ,
,,,,,. ,,,,
v_152 ,v_152 ,v_152 ,v_152 ,v_152 ,v_152 ,v_152 ,v_152 ,v_152 ,
den ,den ,den ,den ,den ,den ,den ,den ,den ,
rîchen ,rîchen ,rîchen ,hôhen ,hôhen ,rîchen ,hôhen ,hôhen ,hôhen ,
lôn ,lôn ,lôn ,lôn ,lôn ,lôn ,lôn ,lôn ,lôn ,
den ,den ,den ,den ,der ,den ,der ,den ,den ,
grozen ,hôhen ,hôhen ,werden ,werden ,grozen ,werden ,rîchen ,werden ,
vromen ,vromen ,vromen ,vromen ,vromen ,vromen ,vromen ,vromen ,vromen ,
v_153 ,v_153 ,v_153 ,v_153 ,v_153 ,v_153 ,v_153 ,v_153 ,v_153 ,
den ,den ,den ,der ,der ,den ,der ,den ,den ,
du ,du ,du ,dir ,doch ,du ,dich ,du ,du ,
von ,vo,von ,von ,,,,,,
,̄,,mir ,,,,,,
,n ,,von ,von ,von ,von ,von ,von ,
mir ,mir ,mir ,mir ,mir ,mir ,mir ,mir ,mir ,
enphâhen ,enphâhen ,enphâhen ,geschehen ,geziehen ,enphâhen ,geziehen ,enphâhen ,geziehen ,
maht ,maht ,maht ,maht ,maht ,maht ,maht ,maht ,maht ,
v_154 ,v_154 ,v_154 ,v_154 ,v_154 ,v_154 ,v_154 ,v_154 ,v_154 ,
umbe ,umbe ,umbe ,umbe ,umbe ,umbe ,umbe ,durch ,umbe ,
,,,,,,deinen ,,,
dînen ,dînen ,dînen ,dînen ,dînen ,dînen ,dînen ,dînen ,dînen ,
dienest ,dienst ,dienst ,dienst ,dienst ,dienst ,dienst ,dienst ,dienst ,
wol ,wol ,vil ,vil ,vil ,wol ,vil ,sô ,vil ,
geslaht ,geslaht ,geschaft ,geslaht ,geslaht ,geslaht ,geslaht ,tugenthaft ,geslaht ,
v_155 ,v_155 ,v_155 ,v_155 ,v_155 ,v_155 ,v_155 ,v_155 ,v_155 ,
den ,den ,den ,den ,den ,den ,den ,den ,den ,
solt ,solt ,solt ,solt ,solt ,solt ,solt ,solt ,solt ,
du ,du ,du ,du ,du ,du ,du ,du ,du ,
schouwen ,schouwen ,schouwen ,schouwen ,schowen ,schouwen ,schouwen ,schouwen ,schouwen ,
unde ,unde ,unde ,unde ,unde ,unde ,unde ,unde ,unde ,
spaehen ,spaehen ,sehen ,spehen ,spehen ,spaehen ,spaehen ,spaehen ,spaehen ,
v_156 ,v_156 ,v_156 ,v_156 ,v_156 ,v_156 ,v_156 ,v_156 ,v_156 ,
ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
wil ,wil ,wil ,wil ,wil ,wil ,wil ,wil ,wil ,
dich ,dich ,dich ,dir ,dir ,dich ,dir ,dich ,dir ,
gerne ,gerner ,gern ,gerne ,gerne ,gern ,gerne ,iezuo ,gerne ,
lâzen ,lâzen ,lâzen ,hier ,hier ,lâzen ,hier ,lâzen ,hier ,
sehen ,sehen ,spaehen ,verjehen ,verjehen ,sehen ,verjehen ,sehen ,verjehen ,
v_157 ,v_157 ,v_157 ,v_157 ,v_157 ,v_157 ,v_157 ,v_157 ,v_157 ,
waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
lônes ,lônes ,lônes ,lônes ,lônes ,lônes ,lônes ,lônes ,lônes ,
dir ,dir ,dir ,dir ,dir ,dir ,dir ,dir ,dir ,
geziehen ,geschehen ,geziehen ,geschehen ,geziehen ,geziehen ,geziehen ,gevallen ,geziehen ,
sol ,sol ,sol ,sol ,sol ,sol ,sol ,sol ,sol ,
v_158 ,v_158 ,v_158 ,v_158 ,v_158 ,v_158 ,v_158 ,v_158 ,v_158 ,
du ,du ,du ,du ,du ,du ,du ,du ,du ,
hast ,hast ,hast ,hast ,hast ,hast ,hast ,hast ,hast ,
gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,
mir ,mir ,mir ,mir ,mir ,mir ,mir ,mir ,mir ,
sô ,sô ,sô ,sô ,sô ,sô ,sô ,sô ,sô ,
wol ,wol ,wol ,wol ,wol ,wol ,wol ,wol ,wol ,
v_159 ,v_159 ,v_159 ,v_159 ,v_159 ,v_159 ,v_159 ,v_159 ,v_159 ,
,,daz ,,,,,,,
,,ich ,,,,,,,
,,dir ,,,,,,,
,,sîn ,,,,,,,
,,wil ,,,,,,,
,,danken ,,,,,,,
v_160 ,v_160 ,v_160 ,v_160 ,v_160 ,v_160 ,v_160 ,v_160 ,v_160 ,
,,sîn ,,,,,,,
,,gemuot ,,,,,,,
,,begunde ,,,,,,,
,,wanken ,,,,,,,
v_161 ,v_161 ,v_161 ,v_161 ,v_161 ,v_161 ,v_161 ,v_161 ,v_161 ,
,,und ,,,,,,,
den ,dem ,den ,den ,den ,den ,den ,den ,der ,
,ritter ,,ritter ,ritter ,herren ,ritter ,,ritter ,
,,,tugentlichen ,,edeln ,,,,
edeln ,edel ,,den ,,edeln ,,edeln ,,
herren ,,herren ,na ,,herren ,,herren ,,
tugentrîche ,tugentlich ,tugentrîche ,,tugentrîch ,tugentrîch ,tugentrîch ,tugentrîch ,tugentrîch ,
v_162 ,v_162 ,v_162 ,v_162 ,v_162 ,v_162 ,v_162 ,v_162 ,v_162 ,
,,,den ,den ,,den ,den ,vervient ,
dûhte ,dûhte ,dûhte ,,,dûhte ,,dûhte ,,
,,,nam ,nam ,,nam ,sô ,,
harte ,harte ,harte ,gar ,gar ,harte ,gar ,harte ,gar ,
wunderlich ,wunderlich ,wunderlich ,wunderlichen ,wunderlich ,wunderliich ,wunderlich ,wunderlich ,wunderlich ,
v_163 ,v_163 ,v_163 ,v_163 ,v_163 ,v_163 ,v_163 ,v_163 ,v_163 ,
,diser ,der ,diser ,diser ,diser ,diser ,diser ,diser ,
,,,schoenen ,,,,,,
,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,
,teidinc ,teidinc ,dinc ,teidinc ,teidinc ,teidinc ,teidinc ,teidinc ,
v_164 ,v_164 ,v_164 ,v_164 ,v_164 ,v_164 ,v_164 ,v_164 ,v_164 ,
,wann ,wann ,wann ,wann ,wann ,wann ,wann ,wann ,
,sie ,sie ,,,sie ,,sie ,,
,der ,der ,der ,der ,der ,der ,der ,der ,
,selbe ,,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,
,jungelinc ,jungelinc ,jungelinc ,jungelinc ,jungelinc ,jungelinc ,jungelinc ,jungelinc ,
v_165 ,v_165 ,v_165 ,v_165 ,v_165 ,v_165 ,v_165 ,v_165 ,v_165 ,
,,davor ,sie ,sie ,,sie ,,sie ,
,mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,
,sînen ,,,,sînen ,,sînen ,,
,ougen ,ougen ,ougen ,ougen ,ougen ,ougen ,ougen ,ougen ,
,nie ,nie ,nie ,nie ,nie ,nie ,nie ,nie ,
,gesach ,gesach ,gesach ,gesach ,gesach ,gesach ,gesach ,gesach ,
v_166 ,v_166 ,v_166 ,v_166 ,v_166 ,v_166 ,v_166 ,v_166 ,v_166 ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,,,daz ,,,,,,
,doch ,doch ,doch ,doch ,doch ,doch ,doch ,doch ,
,diu ,diu ,diu ,diu ,diu ,diu ,die ,die ,
,selbe ,selbe ,,selbe ,selbe ,selbe ,schoene ,selbe ,
,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,
,sprach ,sprach ,jach ,jach ,sprach ,jach ,sprach ,jach ,
v_167 ,v_167 ,v_167 ,v_167 ,v_167 ,v_167 ,v_167 ,v_167 ,v_167 ,
,er ,er ,er ,ir ,er ,ir ,er ,er ,
,waere ,waere ,waere ,waert ,waere ,waere ,waere ,macht ,
,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
,dienstman ,dienstman ,dienstman ,dienstman ,dienstman ,dienatman ,dienstman ,dienstman ,
,sîn ,gesîn ,gesîn ,gesîn ,gesîn ,gesîn ,gesîn ,gesîn ,
v_168 ,v_168 ,v_168 ,v_168 ,v_168 ,v_168 ,v_168 ,v_168 ,v_168 ,
,dô ,er ,er ,er ,er ,er ,er ,er ,
,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,
,,,,,,,,vrouwe ,
,er ,genade ,genade ,genade ,genade ,genade ,genade ,genade ,
,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,,
,mîn ,mîn ,mîn ,mîn ,mîn ,mîn ,mîn ,mîn ,
v_169 ,v_169 ,v_169 ,v_169 ,v_169 ,v_169 ,v_169 ,v_169 ,v_169 ,
,hân ,habe ,hân ,hân ,hân ,hân ,habe ,hân ,
,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
,iuch ,iuch ,iuch ,iuch ,iu ,iuch ,iuch ,iuch ,
,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,
,iht ,iht ,iht ,iht ,iht ,iht ,iht ,iht ,
v_170 ,v_170 ,v_170 ,v_170 ,v_170 ,v_170 ,v_170 ,v_170 ,v_170 ,
,triuwen ,entriuwen ,entriuwen ,entriuwen ,entriuwen ,entriuwen ,entriuwen ,entriuwen ,
,dez ,dez ,dez ,dez ,dez ,dez ,dez ,dez ,
,weiz ,enweiz ,enweiz ,enweiz ,enweiz ,enweiz ,enweiz ,enweiz ,
,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
,niht ,niht ,niht ,niht ,niht ,niht ,niht ,niht ,
v_171 ,v_171 ,v_171 ,v_171 ,v_171 ,v_171 ,v_171 ,v_171 ,v_171 ,
,mich ,mich ,mich ,mich ,mich ,mich ,mich ,mich ,
,dunket ,dunket ,dunket ,dunket ,dunket ,dunket ,dunket ,dunket ,
,sunder ,ane ,ane ,ane ,ane ,ane ,ane ,ane ,
,lougen ,lougen ,lougen ,lougen ,lougen ,lougen ,lougen ,lougen ,
v_172 ,v_172 ,v_172 ,v_172 ,v_172 ,v_172 ,v_172 ,v_172 ,v_172 ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
,,,iuch ,iuch ,,iuch ,,iuch ,
,mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,
,mîn ,mînen ,mînen ,mînen ,mînen ,mînen ,mînen ,,
,ougen ,ougen ,ougen ,ougen ,ougen ,ougen ,ougen ,ougen ,
v_173 ,v_173 ,v_173 ,v_173 ,v_173 ,v_173 ,v_173 ,v_173 ,v_173 ,
,iuch ,iuch ,hân ,habe ,iuch ,habe ,iuch ,hân ,
,vil ,vil ,vil ,vil ,vil ,vil ,vil ,,
,selten ,selten ,selten ,selten ,selten ,selten ,selten ,vilten ,
,hân ,hân ,nie ,nie ,hân ,nie ,habe ,nie ,
,gesehen ,gesehen ,gesehen ,gesehen ,gesehen ,gesehen ,gesehen ,gesehen ,
v_174 ,v_174 ,v_174 ,v_174 ,v_174 ,v_174 ,v_174 ,v_174 ,v_174 ,
,sît ,sît ,sît ,sît ,sît ,sît ,sît ,sît ,
,,aber ,aber ,aber ,daz ,aber ,aber ,aber ,
,ir ,ir ,ir ,ir ,ir ,ir ,iuch ,ir ,
,aber ,,,,,,,,
,geruochet ,geruochet ,geruochet ,geruochet ,geruochet ,geruochet ,geruoches ,geruochet ,
,jehen ,jehen ,jehen ,jehen ,jehen ,jehen ,jehen ,jehen ,
