B,C,D,G,K,M,P,S,W,
v_31 ,v_31 ,v_31 ,v_31 ,v_31 ,v_31 ,v_31 ,v_31 ,v_31 ,
,gezeigt ,gezeiget ,erzeiget ,erzeiget ,gezeiget ,erzeiget ,genennet ,erzeiget ,
,,in ,im ,im ,im ,im ,im ,im ,
,ein ,ein ,ein ,sîn ,ein ,sîn ,ein ,ein ,
,ritterschaft ,ritterschaft ,ritterschaft ,ritterschaft ,ritterschaft ,ritterschaft ,ritterchaft ,ritterschaft ,
,mit ,,,,,,,,
,guoten ,,,,,,,,
,siten ,,,,,,,,
v_32 ,v_32 ,v_32 ,v_32 ,v_32 ,v_32 ,v_32 ,v_32 ,v_32 ,
,,,,,,,dazuo ,,
,dar ,da ,da ,dô ,dar ,da ,,da ,
,waere ,waere ,waere ,waere ,waere ,waere ,waere ,waere ,
,er ,der ,der ,der ,der ,der ,der ,der ,
,,herre ,herre ,herre ,herre ,herre ,herre ,ritrer ,
,,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,
v_33 ,v_33 ,v_33 ,v_33 ,v_33 ,v_33 ,v_33 ,v_33 ,v_33 ,
,mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,
,,guotem ,guotem ,guotem ,guoten ,guoten ,guoten ,guotem ,
,willen ,willen ,willen ,willen ,willen ,willen ,willen ,willen ,
,,hin ,hin ,hin ,hin ,hin ,hin ,hin ,
,geriten ,geritten ,geriten ,geriten ,geritten ,geriten ,geriten ,geriten ,
v_34 ,v_34 ,v_34 ,v_34 ,v_34 ,v_34 ,v_34 ,v_34 ,v_34 ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,hette ,hette ,hette ,hette ,hette ,hette ,hette ,hette ,
,dô ,gerne ,gerne ,gerne ,gerne ,gerne ,gerne ,gerne ,
,kurzlich ,da ,da ,da ,da ,da ,da ,da ,
,gestriten ,gestriten ,gestriten ,gestriten ,gestritten ,gestriten ,gestriten ,gestriten ,
v_35 ,v_35 ,v_35 ,v_35 ,v_35 ,v_35 ,v_35 ,v_35 ,v_35 ,
,ûf ,nach ,nach ,nach ,nach ,nach ,nach ,nach ,
,lop ,lop ,lop ,lop ,lop ,lop ,lop ,lop ,
,,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,und ,
,hôher ,hôher ,hôher ,hôher ,hôher ,hôher ,hôhen ,hôher ,
,minne ,minne ,minne ,minnen ,minne ,minnen ,minnen ,minne ,
,solt ,solt ,solt ,solt ,solt ,solt ,solt ,solt ,
v_36 ,v_36 ,v_36 ,v_36 ,v_36 ,v_36 ,v_36 ,v_36 ,v_36 ,
,,,,,,,sol ,,
,er ,er ,er ,er ,er ,er ,er ,er ,
,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
,den ,den ,den ,den ,den ,den ,den ,den ,
,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,
,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,
,holt ,holt ,holt ,holt ,holt ,holt ,holt ,holt ,
v_37 ,v_37 ,v_37 ,v_37 ,v_37 ,v_37 ,v_37 ,v_37 ,v_37 ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,wol ,wol ,wol ,wol ,wol ,wol ,wol ,wol ,
,bescheiden ,bescheiden ,bescheiden ,bescheiden ,bescheiden ,bescheiden ,bescheiden ,bescheiden ,
,waren ,waren ,waren ,waren ,waren ,waren ,waren ,waren ,
v_38 ,v_38 ,v_38 ,v_38 ,v_38 ,v_38 ,v_38 ,v_38 ,v_38 ,
,daz ,dar ,daz ,daz ,daz ,daz ,daz ,daz ,
,er ,er ,er ,er ,er ,er ,er ,er ,
,in ,in ,bî ,in ,in ,in ,in ,in ,
,sînen ,sînen ,sînen ,sînen ,sînen ,sînen ,sînen ,sînen ,
,jâren ,jâren ,jâren ,jâren ,jâren ,jâren ,jâren ,jâren ,
v_39 ,v_39 ,v_39 ,v_39 ,v_39 ,v_39 ,v_39 ,v_39 ,v_39 ,
,mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,
,lanc ,lange ,langer ,lange ,langer ,lange ,langer ,lanc ,
,wernder ,wernder ,vröude ,wernder ,wernder ,wernder ,wernde ,wernder ,
,,,,,,,den ,,
,staete ,staete ,staete ,staete ,staete ,staete ,staete ,staete ,
v_40 ,v_40 ,v_40 ,v_40 ,v_40 ,v_40 ,v_40 ,v_40 ,v_40 ,
,in ,in ,in ,in ,in ,in ,in ,in ,
,sô ,sô ,alsô ,sô ,sô ,sô ,sô ,sô ,
,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,gedienet ,
,haette ,haette ,haette ,haette ,haette ,haette ,haette ,haette ,
v_41 ,v_41 ,v_41 ,v_41 ,v_41 ,v_41 ,v_41 ,v_41 ,v_41 ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,alle ,alle ,alle ,elend ,alle ,elend ,alle ,alle ,
,saeldenhafte ,saeldenhafte ,saeldenhafte ,saeldenhaften ,saeldenhaften ,saeldenhaften ,saeldenhaften ,saeldenhafte ,
,,,,,,,lîp ,,
,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,
v_42 ,v_42 ,v_42 ,v_42 ,v_42 ,v_42 ,v_42 ,v_42 ,v_42 ,
,,,,,,,alliv ,,
,dem ,sînen ,sînen ,sînen ,sînen ,sînen ,sînen ,sînen ,
,tugenthaften ,tugentrîchen ,minneclîchen ,minnenclichen ,wunneclîchen ,minneclîchen ,tugenthaften ,minneclîchen ,
,,,,,,,wîp ,,
,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
v_43 ,v_43 ,v_43 ,v_43 ,v_43 ,v_43 ,v_43 ,v_43 ,v_43 ,
,lobten ,lobten ,lobten ,lobten ,lobten ,lobten ,lobten ,lobten ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,prîsten ,prîsten ,prîsten ,prîsten ,prîsten ,prîsten ,prîsten ,prîsten ,
v_44 ,v_44 ,v_44 ,v_44 ,v_44 ,v_44 ,v_44 ,v_44 ,v_44 ,
,als ,als ,als ,als ,als ,als ,als ,als ,
,uns ,uns ,in ,uns ,uns ,uns ,uns ,uns ,
,die ,die ,die ,die ,diu ,die ,die ,die ,
,buocher ,buoch ,buoch ,buoch ,buoch ,buoch ,buoch ,buoch ,
,bewîsten ,bewîsten ,wîsten ,bewîsten ,bewîsten ,bewîsten ,bewîsten ,bewîsten ,
v_45 ,v_45 ,v_45 ,v_45 ,v_45 ,v_45 ,v_45 ,v_45 ,v_45 ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
,,,,,ez ,,,,
,von ,von ,von ,von ,von ,von ,von ,von ,
,im ,im ,im ,im ,im ,in ,im ,im ,
,beschriben ,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,
,vant ,vant ,vant ,vant ,vant ,vant ,vant ,vant ,
v_46 ,v_46 ,v_46 ,v_46 ,v_46 ,v_46 ,v_46 ,v_46 ,v_46 ,
,sô ,sô ,alsô ,sust ,sô ,sust ,sô ,sus ,
,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,herre ,herre ,herre ,herre ,herre ,herre ,herre ,herre ,
,genant ,genant ,genant ,genant ,genant ,genant ,genant ,genant ,
v_47 ,v_47 ,v_47 ,v_47 ,v_47 ,v_47 ,v_47 ,v_47 ,v_47 ,
,her ,her ,her ,her ,her ,her ,her ,her ,
,Herman ,Wirant ,Wernher ,Wirnet ,Wirin ,Wirnet ,Wirnt ,Wirnet ,
,,,,da ,da ,da ,da ,da ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,Greivenberc ,Gravenberc ,Gravenberc ,Gravenberc ,Gravenberc ,Gravenberc ,Gravenberc ,Gravenberc ,
v_48 ,v_48 ,v_48 ,v_48 ,v_48 ,v_48 ,v_48 ,v_48 ,v_48 ,
,und ,er ,er ,er ,er ,er ,und ,er ,
,hette ,hette ,hette ,hette ,hette ,hette ,hette ,,
,werltliche ,werltliche ,werltliche ,werltliche ,werltliche ,werltliche ,werltliche ,werltliche ,
,werc ,werc ,werc ,werc ,werc ,werc ,werc ,werc ,
v_49 ,v_49 ,v_49 ,v_49 ,v_49 ,v_49 ,v_49 ,v_49 ,v_49 ,
,gewirket ,gewürket ,geworht ,gewirket ,geworht ,gewirket ,gewirket ,gewirket ,
,alle ,alle ,alle ,alle ,alle ,alle ,alle ,alle ,
,sîne ,sîne ,sîne ,sîne ,sîne ,sînem ,sîne ,sîn ,
,jâr ,jâr ,jâre ,jâr ,jâr ,jâr ,jâr ,jâr ,
v_50 ,v_50 ,v_50 ,v_50 ,v_50 ,v_50 ,v_50 ,v_50 ,v_50 ,
,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,
,herz ,herz ,herz ,herz ,herze ,herze ,herze ,herz ,
,stille ,stille ,stille ,stille ,stille ,stille ,stille ,stille ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,offenbâr ,offenbar ,offenbâr ,offenbar ,offenbâr ,offenbâr ,offenbâr ,offenbâr ,
v_51 ,v_51 ,v_51 ,v_51 ,v_51 ,v_51 ,v_51 ,v_51 ,v_51 ,
,nach ,nach ,nach ,nach ,nach ,nach ,nach ,nach ,
,der ,vrouwen ,der ,der ,der ,der ,der ,der ,
,minne ,minne ,minne ,minne ,minne ,minne ,minne ,minne ,
,tobet ,tobete ,tobete ,tobete ,tobete ,tobete ,tobete ,tobete ,
v_52 ,v_52 ,v_52 ,v_52 ,v_52 ,v_52 ,v_52 ,v_52 ,v_52 ,
,sust ,nun ,sust ,sust ,sust ,sust ,sust ,sus ,
,saz ,saz ,saz ,saz ,saz ,saz ,saz ,saz ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,hochgelobet ,hochgelobet ,hochgelobet ,hochgelobet ,gelobet ,hochgelobet ,hochgelobet ,hochgelobet ,
v_53 ,v_53 ,v_53 ,v_53 ,v_53 ,v_53 ,v_53 ,v_53 ,v_53 ,
,in ,in ,in ,in ,in ,in ,in ,in ,
,sîner ,sîner ,einer ,einer ,einer ,einer ,einer ,einer ,
,kemenâten ,kemenâten ,kemenâten ,kemenâten ,kemenâten ,kemenâten ,kemenâten ,kemenâten ,
v_54 ,v_54 ,v_54 ,v_54 ,v_54 ,v_54 ,v_54 ,v_54 ,v_54 ,
,mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,
,vröuden ,vröuden ,vrouwen ,vröuden ,vröuden ,vröuden ,vröuden ,vröuden ,
,wol ,wol ,wol ,wol ,wol ,wol ,wol ,wol ,
,beraten ,beraten ,beraten ,beraten ,beraten ,beraten ,beraten ,beraten ,
v_55 ,v_55 ,v_55 ,v_55 ,v_55 ,v_55 ,v_55 ,v_55 ,v_55 ,
,und ,und ,er ,er ,und ,er ,und ,er ,
,hette ,hette ,hette ,hette ,hette ,hette ,hette ,hette ,
,ein ,ein ,ein ,ein ,ein ,ein ,ein ,ein ,
,buoch ,buoch ,buoch ,buoch ,buoch ,buoch ,buoch ,buoch ,
,in ,in ,in ,in ,in ,in ,in ,in ,
,sîner ,sîner ,sîner ,sîner ,sîner ,sîner ,sîner ,sîner ,
,hant ,hant ,hant ,hant ,hant ,hant ,hant ,hant ,
v_56 ,v_56 ,v_56 ,v_56 ,v_56 ,v_56 ,v_56 ,v_56 ,v_56 ,
,darin ,daran ,daran ,daran ,daran ,daran ,daran ,daran ,
,er ,er ,er ,er ,er ,er ,er ,,
,aventiure ,aventiure ,aventiure ,aventiure ,aventiure ,aventiure ,aventiure ,aventiure ,
,vant ,vant ,vant ,vant ,vant ,vant ,vant ,vant ,
v_57 ,v_57 ,v_57 ,v_57 ,v_57 ,v_57 ,v_57 ,v_57 ,v_57 ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,minne ,minne ,minne ,minne ,minne ,minne ,minne ,minne ,
,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,geschriben ,
v_58 ,v_58 ,v_58 ,v_58 ,v_58 ,v_58 ,v_58 ,v_58 ,v_58 ,
,dar ,dar ,dor ,dar ,dar ,dar ,dar ,dar ,
,ob ,ob ,ob ,ob ,ob ,ob ,ob ,ob ,
,sô ,,,,,,,,
,hette ,hette ,hette ,hette ,hette ,hette ,hette ,hette ,
,,er ,er ,er ,er ,er ,er ,er ,
,,,,,dô ,,,,
,vertriben ,vertriben ,vertriben ,vertriben ,vertriben ,vertriben ,vertriben ,vertriben ,
v_59 ,v_59 ,v_59 ,v_59 ,v_59 ,v_59 ,v_59 ,v_59 ,v_59 ,
,den ,den ,den ,den ,den ,den ,den ,den ,
,tac ,tac ,tac ,tac ,tac ,tac ,tac ,tac ,
,,biz ,biz ,untz ,untz ,untz ,biz ,untz ,
,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,vesperzît ,vesperzît ,vesperzît ,vesperzît ,vesperzît ,vesperzît ,vesperzît ,vesperzît ,
v_60 ,v_60 ,v_60 ,v_60 ,v_60 ,v_60 ,v_60 ,v_60 ,v_60 ,
,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,
,vröude ,vröude ,vröude ,vröude ,vröude ,vröude ,vröuden ,vröude ,
,waz ,waz ,waz ,waz ,waz ,waz ,waren ,waz ,
,,,vil ,vil ,vil ,vil ,,vil ,
